series,charset,N,L,target_type,bf_mean_guesses,bf_mean_time_s,bf_found_rate,heur_mean_guesses,heur_mean_time_s,heur_found_rate
A,lowercase,26,1,"random",17,0.000006,1.00,7266,0.000739,0.00
A,lowercase,26,2,"random",501,0.000084,1.00,7266,0.000399,0.00
A,lowercase,26,3,"random",9730,0.000344,1.00,7266,0.000242,0.00
A,lowercase,26,4,"random",203426,0.004274,1.00,7266,0.000134,0.00
A,lowercase,26,5,"random",3979711,0.076647,1.00,7266,0.000114,0.00
B,numeric,10,3,"random",727,0.000018,1.00,7266,0.000114,0.00
B,lowercase,26,3,"random",11516,0.000232,1.00,7266,0.000113,0.00
B,alphanumeric,62,3,"random",147713,0.002653,1.00,7266,0.000112,0.00
B,ascii,95,3,"random",475192,0.008774,1.00,7266,0.000113,0.00
short_predictable,lowercase,26,3,"cat",2074,0.000044,1.00,7266,0.000123,0.00
short_predictable,lowercase,26,3,"sun",13404,0.000281,1.00,7266,0.000108,0.00
short_predictable,lowercase,26,4,"moon",239032,0.004938,1.00,7266,0.000114,0.00
short_predictable,lowercase,26,5,"hello",3752127,0.072061,1.00,1527,0.000093,1.00
short_predictable,lowercase,26,5,"admin",536316,0.010185,1.00,1653,0.000095,1.00
short_predictable,lowercase,26,5,"login",5752332,0.109390,1.00,3879,0.000222,1.00
realistic_predictable,ascii,95,9,"password1",2000000,0.038006,0.00,2,0.000004,1.00
realistic_predictable,ascii,95,8,"H3llo123",2000000,0.062605,0.00,1614,0.000098,1.00
realistic_predictable,ascii,95,8,"p@ssw0rd",2000000,0.111086,0.00,267,0.000008,1.00
realistic_predictable,ascii,95,8,"Welcome1",2000000,0.110594,0.00,1948,0.000032,1.00
realistic_predictable,ascii,95,9,"qwerty123",2000000,0.051378,0.00,2076,0.000035,1.00
realistic_predictable,ascii,95,8,"admin123",2000000,0.051959,0.00,1656,0.000029,1.00
realistic_predictable,ascii,95,10,"dragon2024",2000000,0.049548,0.00,2208,0.000039,1.00
realistic_predictable,ascii,95,7,"monkey!",2000000,0.051902,0.00,2386,0.000040,1.00
realistic_predictable,ascii,95,8,"letmein1",2000000,0.052995,0.00,3194,0.000056,1.00
realistic_predictable,ascii,95,10,"Football99",2000000,0.051293,0.00,2850,0.000051,1.00
